model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,delta_waic,delta_dic
nb_spatial_month,nbinomial,TRUE,NA,272.37763998663627,20.344989258741208,270.2163949545632,16.45642595173655,-142.93368627144102,0,NA,1.8366112784030972,584.137969103124,0.8162670257938102,6770,0,0.6786781957605967
zinb_spatial_month,zeroinflatednbinomial1,TRUE,NA,273.0423857102545,20.23056618168269,270.5064260178691,16.066005052835024,-143.84918564411552,0,0.09315924503533596,2.0955417183658587,588.2766206022135,0.8118777518682563,6770,0.29003106330588935,1.3434239193788358
poisson_spatial_month,poisson,TRUE,NA,271.69896179087567,25.205763850458993,274.02152487832177,23.998302787883567,-143.2528333036924,0.9943820224719101,NA,NA,518.3726715491257,0.911428298547339,6770,3.8051299237585567,0
