month,rows,cameras,observed_events,fitted_events,residual,pearson,lag1_acf,within_camera_lag1_r,within_camera_lag1_p,within_camera_lag1_pairs,within_camera_lag1_cameras
2024-03,27,27,0,1.352313159742309,-1.352313159742309,-1.1430750563431848,0.14603431289374982,-0.049755509995049796,0.3881133612874661,303,53
2024-04,53,35,3,3.9375698432793214,-0.9375698432793214,-0.46046932219242337,NA,NA,NA,NA,NA
2024-05,58,27,7,8.266873549804494,-1.2668735498044938,-0.4131369247682563,NA,NA,NA,NA,NA
2024-06,61,49,14,14.59692948093663,-0.5969294809366303,-0.14226181834898052,NA,NA,NA,NA,NA
2024-07,52,26,10,11.027163259102265,-1.0271632591022648,-0.2898595079687995,NA,NA,NA,NA,NA
2024-08,52,52,9,9.296426098167466,-0.29642609816746557,-0.09188650962154832,NA,NA,NA,NA,NA
2024-09,53,52,3,3.9065103059769215,-0.9065103059769215,-0.4448707676397135,NA,NA,NA,NA,NA
