month,rows,cameras,observed_events,fitted_events,residual,pearson,lag1_acf,within_camera_lag1_r,within_camera_lag1_p,within_camera_lag1_pairs,within_camera_lag1_cameras
2024-03,27,27,0,1.3508705014184532,-1.3508705014184532,-1.1419910165960625,0.14365142474570797,-0.04637151867932061,0.42123493166427084,303,53
2024-04,53,35,3,3.9247424988853195,-0.9247424988853195,-0.4546412174114079,NA,NA,NA,NA,NA
2024-05,58,27,7,8.250417782618971,-1.250417782618971,-0.4082315296174061,NA,NA,NA,NA,NA
2024-06,61,49,14,14.571844879583782,-0.5718448795837823,-0.13639648664952264,NA,NA,NA,NA,NA
2024-07,52,26,10,11.001720521440191,-1.0017205214401912,-0.2825578758626202,NA,NA,NA,NA,NA
2024-08,52,52,9,9.243195932589396,-0.24319593258939598,-0.07556598210924795,NA,NA,NA,NA,NA
2024-09,53,52,3,3.904284536351009,-0.904284536351009,-0.44353465630125116,NA,NA,NA,NA,NA
