mesh_variant,note,model,family,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,diagnostics_ok,ppc_total_pass,ppc_zero_pass,ppc_max_pass,moran_p,pearson_disp,pearson_disp_camera,ppc_pit_ks,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,mesh_cutoff_m,mesh_max_edge_inner_m,mesh_max_edge_outer_m,mesh_offset_inner_m,mesh_offset_outer_m,delta_waic,delta_dic
current,current final mesh,nb_spatial_month,nbinomial,271.62198742043387,20.329029890213008,269.4527054900134,16.415755641207795,-142.68253471902057,0,TRUE,TRUE,TRUE,TRUE,0.694,0.5763945843303402,0.6033505767636891,0.4703818505892726,1.9093384635019868,618.3603658750961,0.8194598059704714,2493,150,300,1500,1800,6000,0.04415738824894788,0.039468680101947484
finer,finer SPDE mesh,nb_spatial_month,nbinomial,271.7154037287936,20.58433887019214,269.40854810176444,16.507367822102278,-142.74533825362977,0,TRUE,TRUE,TRUE,TRUE,0.72,0.5711323717462481,0.5928329507848946,0.9250723538991994,1.9165812914121978,594.6771289145624,0.8153185714175543,4221,105,210,1050,1440,4800,0,0.13288498846168295
coarser,coarser SPDE mesh,nb_spatial_month,nbinomial,271.5825187403319,19.58459356107241,269.5448634805549,15.893257278940425,-142.66213452322435,0,TRUE,TRUE,TRUE,TRUE,0.8,0.5845323332846601,0.6188820334644588,0.30618026439913104,1.839453054970123,592.7239342202256,0.8797555521560454,1470,217.5,435,2175,2160,7200,0.13631537879047073,0
