model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,mesh_cutoff_m,mesh_max_edge_inner_m,mesh_max_edge_outer_m,delta_waic
final_current_mesh,nbinomial,TRUE,current,272.37618508389977,20.34761082692421,270.21428262901213,16.457839694085106,-142.9338900643906,0,NA,1.8361425197678651,584.1093243424765,0.8162328217597493,6770,75,150,900,0.7245790240542647
final_finer_mesh,nbinomial,TRUE,finer,271.8644669066057,20.430361796943515,269.65355233186705,16.478856729608708,-142.82147910041377,0,NA,1.9186570548983142,591.4353165807821,0.8130840892761945,4053,100,105,630,0.16384872690917973
final_coarser_mesh,nbinomial,TRUE,coarser,271.71456039753633,20.48422292019677,269.48970360495787,16.499908831409826,-142.75641742761184,0,NA,1.9439340893087056,594.6739177511306,0.8126420386276181,3837,108.75,217.5,1305,0
