month,model_rows,source_deployments,cameras,events,effort_days,rate_per_100
2024-08,114,114,60,2965,1585.5471064814815,187.00169726143864
2024-09,166,166,60,2796,1720.3260069444445,162.52733427928075
2024-10,64,64,59,1020,268.14940972222223,380.3849507096155
