model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,prior_variant,intercept_prior_mean,intercept_prior_sd,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,spatial_range_prior_range0,spatial_range_prior_prob_below,zi_prior_center,zi_prior_logit_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,delta_waic,delta_dic
prior_wider_spatial_range,nbinomial,TRUE,wider spatial-range prior median,2037.1805500079824,59.978137030351945,2037.3753688135143,51.31150223907528,-1097.2438322862301,0,NA,6.501941003905165,1993.297567295746,1.0959539965214358,33512,wider_spatial_range,0.6404328650402442,2.5,2,0.05,10000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0,0.02993089211008737
prior_extra_wide_spatial_sd,nbinomial,TRUE,"extra-wide spatial SD prior, checks robustness beyond final prior",2037.1506191158724,60.0835784847568,2037.3796285318153,51.42292153543913,-1094.918571134992,0,NA,6.505526927465679,1211.2323098777522,1.0617454890226654,33512,extra_wide_spatial_sd,0.6404328650402442,2.5,2.5,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.004259718301000248,0
prior_final_current,nbinomial,TRUE,"final selected NB priors: spatial SD prior, current range, broad log-size prior",2037.1628115659191,60.036714877634495,2037.405827732194,51.39479922971888,-1095.0174303785188,0,NA,6.505727175729476,1203.7131045607493,1.0584497072607513,33512,final_current,0.6404328650402442,2.5,2,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.03045891867964201,0.0121924500467685
prior_shorter_spatial_range,nbinomial,TRUE,shorter spatial-range prior median,2037.1628115659187,60.03671487763427,2037.405827732194,51.39479922971888,-1095.0174303785188,0,NA,6.505727175729476,1203.7131045607493,1.0584497072607513,33512,shorter_spatial_range,0.6404328650402442,2.5,2,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.03045891867964201,0.012192450046313752
prior_wider_spatial_sd_1p5,nbinomial,TRUE,wider spatial SD prior for comparison,2037.2091296955691,60.042010765926534,2037.4602436495777,51.408141478801085,-1095.256035587543,0,NA,6.502692647706892,1191.7169327197232,1.052197777176695,33512,wider_spatial_sd_1p5,0.6404328650402442,2.5,1.5,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.08487483606336355,0.058510579696758214
prior_tighter_original_like,nbinomial,TRUE,tighter original-like spatial SD and broad intercept priors,2037.3746512663295,60.03824737593891,2037.6542950472926,51.43221104733021,-1097.6441180730806,0,NA,6.496239731550964,1160.3846719655492,1.0334895009715062,33512,tighter_original_like,0,10,0.85,0.05,2500,0.5,0.2689414213699951,2.23606797749979,0.6931471805599453,2,0.27892623377829295,0.22403215045710567
