model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,mesh_cutoff_m,mesh_max_edge_inner_m,mesh_max_edge_outer_m,delta_waic
final_current_mesh,nbinomial,TRUE,current,2037.1614512446856,60.03611489445393,2037.4038737905944,51.393813004005494,-1095.0172639608988,0,NA,6.505715413187941,1203.903212126534,1.0584719055361427,33512,150,300,3000,0.09714201380779741
final_finer_mesh,nbinomial,TRUE,finer,2037.1129415307719,60.10216285248475,2037.3067317767866,51.413098195258875,-1094.9488154539063,0,NA,6.502208520826466,1168.8307921333096,1.0768712302299523,61752,105,210,2100,0
final_coarser_mesh,nbinomial,TRUE,coarser,2037.2569699762234,60.11263868762671,2037.4764440878632,51.43749907589418,-1095.187161597862,0,NA,6.504738851464931,1241.7404957979657,1.0446856779607503,17594,217.5,435,4350,0.16971231107663698
