parameter,mean,sd,0.025quant,0.5quant,0.975quant,mode
size for nbinomial_1 zero-inflated observations,3.296823469430083,1.3743571541896997,1.2870939419622136,3.0693733237499328,6.599757688942804,2.644716343451969
zero-probability parameter for zero-inflated nbinomial_1,0.06291273619819486,0.04498999481817355,0.008224743895495509,0.05164859565065531,0.17626639477495784,0.025272571607768524
Range for spatial,4174.706479267901,1443.8101494185353,2006.7685176481468,3954.406558875242,7617.851309346477,3548.7882729338567
Stdev for spatial,0.9605510002455021,0.14714077739718287,0.7030265382558777,0.9496418260366831,1.2809372974703632,0.9284695843165743
