model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,delta_waic,delta_dic
zinb_spatial_month,zeroinflatednbinomial1,TRUE,NA,933.773502222449,45.71996843156171,933.6416836031526,38.944786394263524,-496.4971441337934,0,0.06291348507942648,3.296636858257458,4174.737784940437,0.9605421007777865,19099,0,0
nb_spatial_month,nbinomial,TRUE,NA,939.0065505759034,44.67812704414041,937.3211511387572,36.919040198587965,-496.044967445539,0,NA,2.223761494500316,4212.033527373865,0.9538589333639315,19099,3.6794675356045445,5.233048353454365
poisson_spatial_month,poisson,TRUE,NA,968.598955765697,50.69357053264582,997.3000037644825,67.63002210457694,-518.7706986801855,0.3488372093023256,NA,NA,4197.31156832249,0.9791480467691406,19099,63.658320161329925,34.825453543248045
