model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,prior_variant,intercept_prior_mean,intercept_prior_sd,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,spatial_range_prior_range0,spatial_range_prior_prob_below,zi_prior_center,zi_prior_logit_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,delta_waic,delta_dic
prior_wider_spatial_range,zeroinflatednbinomial1,TRUE,wider spatial-range prior median,933.5326201568965,45.44614954573376,933.4160322770229,38.73604318475836,-496.6900574868299,0,0.06269591426801802,3.270761480506501,4628.067148951717,0.9840688102575608,19099,wider_spatial_range,-2.009746400232683,2.5,2.5,0.05,10000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0,0
prior_extra_wide_spatial_sd,zeroinflatednbinomial1,TRUE,"extra-wide spatial SD prior, checks robustness beyond final prior",933.7734940089508,45.72159352268591,933.6411308371974,38.945699206822326,-496.4972262427158,0,0.06291375463848627,3.2968976086512205,4174.700567413643,0.9605603886601557,19099,extra_wide_spatial_sd,-2.009746400232683,2.5,2.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.22509856017450147,0.24087385205427836
prior_final_current,zeroinflatednbinomial1,TRUE,"final selected NB priors: spatial SD prior, current range, broad log-size prior",933.7733234815416,45.719502720045625,933.6416687324001,38.944527587329404,-496.497109956093,0,0.06291318223587132,3.296568866739047,4174.749663299134,0.9605465252266392,19099,final_current,-2.009746400232683,2.5,2.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.22563645537729826,0.24070332464509647
prior_shorter_spatial_range,zeroinflatednbinomial1,TRUE,shorter spatial-range prior median,934.0177610064679,45.87671950650315,933.7944553213881,38.992497395616724,-496.68667419649256,0,0.06324195103921579,3.3006756887721074,3893.3660248669494,0.9481884561753856,19099,shorter_spatial_range,-2.009746400232683,2.5,2.5,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.3784230443652632,0.48514084957139403
prior_wider_spatial_sd_1p5,zeroinflatednbinomial1,TRUE,wider spatial SD prior for comparison,933.9046015455883,45.46764661525242,933.8050269131447,38.769550957794415,-496.7594124345226,0,0.06337847551231433,3.288016758174335,4078.4822654679833,0.943149047731562,19099,wider_spatial_sd_1p5,-2.009746400232683,2.5,1.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.388994636121879,0.3719813886917791
prior_tighter_original_like,zeroinflatednbinomial1,TRUE,tighter original-like spatial SD and broad intercept priors,934.1939134008768,45.15991554702089,933.891819846715,38.327533245477056,-499.7111349524857,0,0.08382511504761,3.5815431958206436,3960.8170068406803,0.9115101345995031,19099,tighter_original_like,0,10,0.85,0.05,5000,0.5,0.2689414213699951,2.23606797749979,0.6931471805599453,2,0.4757875696921019,0.6612932439802535
