model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,mesh_cutoff_m,mesh_max_edge_inner_m,mesh_max_edge_outer_m,delta_waic
final_current_mesh,zeroinflatednbinomial1,TRUE,current,933.8185589197766,45.75023693564356,933.6726254020087,38.94237327061417,-496.4028212976,0,0.06305776385875891,3.28776586220294,4140.742301205096,0.9362574811569148,7200,350,700,5000,0.24228411199703714
final_finer_mesh,zeroinflatednbinomial1,TRUE,finer,933.7740705546327,45.793330319091865,933.5423491052247,38.92227655966943,-496.3233003120854,0,0.0629464589496925,3.300314694655582,4039.7672771412263,0.9447442697474479,12977,244.99999999999997,489.99999999999994,3500,0.11200781521301906
final_coarser_mesh,zeroinflatednbinomial1,TRUE,coarser,933.6697244248188,45.86726274616228,933.4303412900117,38.97668817307809,-496.45826220549907,0,0.0626774428607752,3.2898502153811604,4223.49227335931,0.9252674882271664,3914,507.5,1015,7250,0
