parameter,mean,sd,0.025quant,0.5quant,0.975quant,mode
Range for spatial,2615.26063598661,788.2190518833082,1327.0852914794505,2527.175070345499,4395.478888981064,2372.686370168942
Stdev for spatial,1.2318720055850239,0.1282368510017583,1.0005636494842651,1.2246354830854034,1.504933333865861,1.209066193097908
