model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,delta_waic,delta_dic
poisson_spatial_month,poisson,TRUE,NA,678.5865567849892,58.06155443071134,697.6632935127623,56.610864315442704,-422.8999761221173,0.20689655172413793,NA,NA,2615.26063598661,1.2318720055850239,33484,0,0
nb_spatial_month,nbinomial,TRUE,NA,713.1872543520633,56.89238982301151,718.1285992080566,46.791945956772835,-423.18649655343023,0,NA,29.523107860603666,2593.7905512137686,1.2141571781226836,33484,20.46530569529432,34.60069756707412
zinb_spatial_month,zeroinflatednbinomial1,TRUE,NA,715.4708980538483,56.92976728287124,719.4471656710101,46.274935779536925,-426.1885234469699,0,0.01019601048236877,29.412415943830446,2619.683568204541,1.2110145235537209,33484,21.783872158247846,36.88434126885909
