model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,prior_variant,intercept_prior_mean,intercept_prior_sd,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,spatial_range_prior_range0,spatial_range_prior_prob_below,zi_prior_center,zi_prior_logit_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,delta_waic,delta_dic
prior_extra_wide_spatial_sd,nbinomial,TRUE,"extra-wide spatial SD prior, checks robustness beyond final prior",1166.6107522261789,50.97007851224021,1162.8004021632823,41.36801863461347,-619.3577875825107,0,NA,1.7335674448952565,2989.461662529411,1.1921845370698956,19113,extra_wide_spatial_sd,-2.1873533697054492,2.5,2.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0,0.09213825041524615
prior_wider_spatial_range,nbinomial,TRUE,wider spatial-range prior median,1166.5186139757636,50.675727082915955,1162.8116350422165,41.2115230899542,-620.04254420874,0,NA,1.7290915526647401,3449.3419820780173,1.2072074729262825,19113,wider_spatial_range,-2.1873533697054492,2.5,2,0.05,10000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.011232878934151813,0
prior_final_current,nbinomial,TRUE,"final selected NB priors: spatial SD prior, current range, broad log-size prior",1166.6999447040005,50.900197887965305,1162.9025153794491,41.323116695297635,-619.4919506441232,0,NA,1.7326072970605104,2965.351184765591,1.1835891338375628,19113,final_current,-2.1873533697054492,2.5,2,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.10211321616679925,0.18133072823684415
prior_shorter_spatial_range,nbinomial,TRUE,shorter spatial-range prior median,1166.8822357421311,51.03847435524381,1163.030696531018,41.39263482871329,-619.4002468576467,0,NA,1.733910068537534,2579.81014204786,1.1692361476724957,19113,shorter_spatial_range,-2.1873533697054492,2.5,2,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.23029436773572343,0.363621766367487
prior_wider_spatial_sd_1p5,nbinomial,TRUE,wider spatial SD prior for comparison,1166.8415620268022,50.73555800109057,1163.0791648604113,41.21705144110871,-619.7933000365629,0,NA,1.7319661713804997,2927.027321330221,1.1692973658528072,19113,wider_spatial_sd_1p5,-2.1873533697054492,2.5,1.5,0.05,5000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.2787626971289683,0.3229480510385656
prior_tighter_original_like,nbinomial,TRUE,tighter original-like spatial SD and broad intercept priors,1167.2144876196107,50.291124682269356,1163.562459763199,40.94676793848724,-622.3763883158108,0,NA,1.7278092832136733,2836.198193903569,1.1334102252328424,19113,tighter_original_like,0,10,0.85,0.05,5000,0.5,0.2689414213699951,2.23606797749979,0.6931471805599453,2,0.7620575999167158,0.6958736438471078
