model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,mesh_cutoff_m,mesh_max_edge_inner_m,mesh_max_edge_outer_m,delta_waic
final_current_mesh,nbinomial,TRUE,current,1166.6999447040005,50.900197887965305,1162.9025153794491,41.323116695297635,-619.4919506441232,0,NA,1.7326072970605104,2965.351184765591,1.1835891338375628,19113,200,400,3000,0.0916763750951759
final_finer_mesh,nbinomial,TRUE,finer,1166.8270197681302,50.88175619816866,1163.0525901656192,41.32748571907918,-619.605038491473,0,NA,1.7311430622883424,2979.259468196528,1.194426042144587,35331,140,280,2100,0.2417511612652561
final_coarser_mesh,nbinomial,TRUE,coarser,1166.5677403432069,50.860240437323,1162.810839004354,41.32181651412653,-619.5857879436533,0,NA,1.7316751508436552,3033.726324058566,1.1707609570837143,10030,290,580,4350,0
