model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,delta_waic,delta_dic
zinb_spatial_month,zeroinflatednbinomial1,TRUE,NA,1166.7203825717706,51.146404066435935,1162.6569314377882,41.292896376628256,-620.9202899676209,0,0.03177333478538089,1.920958901441351,2947.602092173688,1.1811552420908125,19113,0,0.02043673350408426
nb_spatial_month,nbinomial,TRUE,NA,1166.6999458382666,50.900135012312376,1162.902534934146,41.32307617116369,-619.4919481660082,0,NA,1.7326089850628619,2965.349414257752,1.1835881410840463,19113,0.24560349635771672,0
poisson_spatial_month,poisson,TRUE,NA,1256.621503238215,55.641760731528166,1303.0591411935675,87.95390627047351,-674.773524607803,0.3448979591836735,NA,NA,2798.6477128855113,1.2097211118815447,19113,140.40220975577927,89.92155739994837
