level,stat,observed,sim_median,sim_q025,sim_q975,pass,method
model_row,total_events,8284,8296.5,7690.424999999999,8990.25,TRUE,joint_posterior
model_row,zero_fraction,0.04081632653061224,0.10816326530612246,0.08571428571428572,0.1306122448979592,FALSE,joint_posterior
model_row,max_count,414,335,220,521,TRUE,joint_posterior
camera,total_events,8284,8296.5,7690.424999999999,8990.25,TRUE,joint_posterior
camera,zero_fraction,0,0,0,0.016666666666666666,TRUE,joint_posterior
camera,max_count,1239,1195,839.475,1689,TRUE,joint_posterior
