level,metric,value
model_row,mean_log_predictive_density,-3.7903923218318596
model_row,rmse_count,33.06264521184382
model_row,rmse_rate_per100,270.488283418816
model_row,coverage_90,0.8714285714285714
camera,rmse_count,209.24437522607388
camera,rmse_rate_per100,254.97345599944927
camera,coverage_90,0.7666666666666667
