model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,prior_variant,intercept_prior_mean,intercept_prior_sd,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,spatial_range_prior_range0,spatial_range_prior_prob_below,zi_prior_center,zi_prior_logit_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,delta_waic,delta_dic
prior_wider_spatial_range,nbinomial,TRUE,wider spatial-range prior median,2679.1070812782796,62.448389095670336,2683.2544674688925,58.77789960561576,-1442.168299749475,0,NA,12.629890530087502,2515.466384428216,1.2329653165044665,33506,wider_spatial_range,0.461408063233013,2.5,2,0.05,10000,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0,0
prior_extra_wide_spatial_sd,nbinomial,TRUE,"extra-wide spatial SD prior, checks robustness beyond final prior",2679.333886847682,62.63795720479038,2683.442576021316,58.89963324795881,-1440.3225254617819,0,NA,12.644801525047894,1292.2714285853392,1.163392283906053,33506,extra_wide_spatial_sd,0.461408063233013,2.5,2.5,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.18810855242372782,0.22680556940258612
prior_final_current,nbinomial,TRUE,"final selected NB priors: spatial SD prior, current range, broad log-size prior",2679.3458902138896,62.635220087958714,2683.467874264719,58.909129696234935,-1440.4373393726323,0,NA,12.642585517899168,1348.7577225537632,1.1600790635156164,33506,final_current,0.461408063233013,2.5,2,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.21340679582635858,0.2388089356099954
prior_shorter_spatial_range,nbinomial,TRUE,shorter spatial-range prior median,2679.3477877456808,62.63645171750204,2683.4687809334528,58.909338677445824,-1440.4367555238703,0,NA,12.642583263561265,1348.923157103144,1.1602513252030147,33506,shorter_spatial_range,0.461408063233013,2.5,2,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.21431346456029132,0.24070646740119628
prior_wider_spatial_sd_1p5,nbinomial,TRUE,wider spatial SD prior for comparison,2679.3740517130927,62.604640061014834,2683.4957712266933,58.88324752639193,-1440.7401468126823,0,NA,12.642327025591007,1354.8195640311278,1.1533249785430753,33506,wider_spatial_sd_1p5,0.461408063233013,2.5,1.5,0.05,2500,0.5,0.05000000000000001,1.5,0.6931471805599453,2,0.24130375780077884,0.2669704348131745
prior_tighter_original_like,nbinomial,TRUE,tighter original-like spatial SD and broad intercept priors,2679.4489749523123,62.58025818606302,2683.587411209011,58.87899306762762,-1443.2924416586472,0,NA,12.635424048274826,1420.226142442203,1.136116585547556,33506,tighter_original_like,0,10,0.85,0.05,2500,0.5,0.2689414213699951,2.23606797749979,0.6931471805599453,2,0.3329437401184805,0.3418936740326899
