parameter,mean,sd,0.025quant,0.5quant,0.975quant,mode
size for the nbinomial observations (1/overdispersion),12.642585390818068,1.9683110984172907,9.243879635494924,12.481074528842003,16.974686456537544,12.145563548602299
Range for spatial,1349.053231408104,1242.0561489016955,123.23691583734183,980.2031343288431,4619.911033990996,355.1828871824478
Stdev for spatial,1.1602744721556526,0.12583310667850295,0.9274776026130053,1.155136167787013,1.4222875795853283,1.148319847027115
