model,family,spatial,note,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,zi_prob_mean,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,mesh_vertices,delta_waic,delta_dic
poisson_spatial_month,poisson,TRUE,NA,423.38846002423304,43.43536786255618,432.37922720356465,40.013480984876175,-234.70833979444976,0.6896551724137931,NA,NA,4038.7268242920154,0.8961427961681355,19120,0,0
nb_spatial_month,nbinomial,TRUE,NA,438.7861775931436,34.75232369073365,438.01996057428516,27.675744106283734,-234.69826428831752,0,NA,7.321148480475015,3937.0098766116816,0.8177752152325186,19120,5.640733370720511,15.397717568910537
zinb_spatial_month,zeroinflatednbinomial1,TRUE,NA,441.5153207964596,32.07635461856819,440.1991424080083,25.49103408848543,-236.3240157818544,0,0.03062823480628566,7.435358306393949,3994.723531437228,0.7859038124484812,19120,7.819915204443646,18.126860772226564
